City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
490,sandpoint,48.2766,-116.5533,35.94,92,100,4.61,US,2024-01-04 21:47:52
491,monster,52.0258,4.175,46.0,94,75,10.36,NL,2024-01-04 21:47:52
492,bodaybo,57.8506,114.1933,-12.93,98,100,1.97,RU,2024-01-04 21:47:52
493,katsuren-haebaru,26.3369,127.8719,55.99,73,75,6.91,JP,2024-01-04 21:47:53
494,las khorey,11.1595,48.1967,75.52,52,56,9.06,SO,2024-01-04 21:47:53
495,ahmadnagar,19.0833,74.7333,69.53,33,50,5.32,IN,2024-01-04 21:47:53
496,san luis de la loma,17.2706,-100.8939,82.6,61,16,7.94,MX,2024-01-04 21:47:53
497,bereeda,11.8704,51.0579,75.47,63,51,7.16,SO,2024-01-04 21:47:54
498,boa vista,2.8197,-60.6733,93.18,33,40,12.66,BR,2024-01-04 21:47:54
499,nar'yan-mar,67.6713,53.087,8.11,98,99,5.99,RU,2024-01-04 21:47:54
500,vangviang,18.9333,102.45,62.65,89,3,2.06,LA,2024-01-04 21:47:54
501,hell-ville,-13.4,48.2667,81.95,73,100,4.76,MG,2024-01-04 21:47:55
502,kaka,37.3482,59.6143,47.05,53,30,6.82,TM,2024-01-04 21:47:55
503,anna regina,7.2644,-58.5077,78.91,75,72,6.71,GY,2024-01-04 21:47:55
504,stung treng,13.5259,105.9683,65.95,77,74,4.5,KH,2024-01-04 21:47:55
505,bolands,17.0657,-61.8747,80.2,76,20,5.75,AG,2024-01-04 21:47:56
506,dakhla,23.6848,-15.958,66.22,82,0,12.66,EH,2024-01-04 21:47:56
507,alo,7.4178,6.7371,84.99,33,69,3.96,NG,2024-01-04 21:47:56
508,paita,-5.0892,-81.1144,74.95,78,95,15.5,PE,2024-01-04 21:47:56
509,alice springs,-23.7,133.8833,81.95,34,80,3.44,AU,2024-01-04 21:47:30
510,kerikeri,-35.2268,173.9474,68.58,71,100,3.71,NZ,2024-01-04 21:47:57
511,pangai,-19.8,-174.35,84.31,74,40,18.41,TO,2024-01-04 21:47:57
512,novohrad-volynskyi,50.5941,27.6165,43.11,85,100,14.0,UA,2024-01-04 21:47:57
513,crane,31.3974,-102.3501,52.18,61,89,12.3,US,2024-01-04 21:47:58
514,turbat,26.0023,63.044,67.39,73,18,5.28,PK,2024-01-04 21:47:58
515,esikhaleni,-28.871,31.8996,67.48,84,5,2.93,ZA,2024-01-04 21:47:58
516,diphu,25.8333,93.4333,53.26,82,0,1.01,IN,2024-01-04 21:47:58
517,eyl,7.9803,49.8164,75.0,65,12,16.91,SO,2024-01-04 21:47:59
518,sainte-anne-des-monts,49.124,-66.4924,26.47,93,100,18.41,CA,2024-01-04 21:47:59
519,hammerfest,70.6634,23.6821,30.65,59,40,19.57,NO,2024-01-04 21:47:59
520,donnacona,46.6804,-71.7239,15.69,62,37,12.66,CA,2024-01-04 21:47:59
521,pachperwa,27.5167,82.65,53.17,61,0,4.54,IN,2024-01-04 21:47:59
522,touba,8.2833,-7.6833,79.38,39,35,1.03,CI,2024-01-04 21:48:00
523,shenjiamen,29.9576,122.298,51.76,79,68,11.92,CN,2024-01-04 21:48:00
524,sal rei,16.1833,-22.9167,73.56,71,0,12.86,CV,2024-01-04 21:48:00
525,saint-francois,46.4154,3.9054,40.48,93,0,3.44,FR,2024-01-04 21:48:00
526,zhangye,38.9342,100.4517,22.46,47,15,2.39,CN,2024-01-04 21:48:01
527,pul-e 'alam,33.9953,69.0227,37.29,52,97,0.43,AF,2024-01-04 21:48:01
528,dwarka,22.2394,68.9678,69.78,37,0,10.22,IN,2024-01-04 21:48:01
529,ola,59.5833,151.2833,-15.74,89,13,6.89,RU,2024-01-04 21:48:02
530,altai,46.3722,96.2583,-0.89,70,0,0.51,MN,2024-01-04 21:48:02
531,khovd,48.0056,91.6419,4.05,75,27,0.76,MN,2024-01-04 21:39:16
532,medina,24.4686,39.6142,66.63,39,20,6.91,SA,2024-01-04 21:39:16
533,itaituba,-4.2761,-55.9836,86.16,74,40,3.44,BR,2024-01-04 21:35:21
534,rochefort-du-gard,43.9765,4.6902,52.05,68,100,6.91,FR,2024-01-04 21:39:17
535,belyy yar,53.6039,91.3903,-11.31,92,100,0.0,RU,2024-01-04 21:39:17
536,santa terezinha,-29.9002,-50.0904,71.29,88,20,12.03,BR,2024-01-04 21:39:18
537,valle de la pascua,9.2155,-66.0073,89.94,27,83,7.27,VE,2024-01-04 21:39:18
538,tan-tan,28.438,-11.1032,60.75,94,0,2.3,MA,2024-01-04 21:39:19
539,tuy hoa,13.0833,109.3,70.0,84,94,5.61,VN,2024-01-04 21:39:19
540,klyuchi,52.2667,79.1667,19.74,79,100,14.94,RU,2024-01-04 21:39:19
541,vallenar,-28.5708,-70.7581,75.6,35,0,7.87,CL,2024-01-04 21:39:20
542,pubal,37.2917,127.5078,33.35,86,100,0.0,KR,2024-01-04 21:39:21
543,chui,-33.6971,-53.4616,70.52,72,0,11.92,UY,2024-01-04 21:48:05
544,oleksandriys'ke,48.6077,32.9835,40.87,91,99,6.98,UA,2024-01-04 21:48:05
545,at taj,24.2049,23.2857,54.77,41,0,8.32,LY,2024-01-04 21:48:05
546,bloomington,44.8408,-93.2983,24.73,73,100,8.05,US,2024-01-04 21:46:22
547,ulsteinvik,62.3432,5.8487,27.36,49,100,7.0,NO,2024-01-04 21:48:05
548,plettenberg bay,-34.0527,23.3716,67.86,86,22,7.58,ZA,2024-01-04 21:48:06
549,lorengau,-2.0226,147.2712,83.71,74,10,2.91,PG,2024-01-04 21:48:06
550,vereshchagino,58.0789,54.6557,-3.5,99,93,4.38,RU,2024-01-04 21:48:06
551,new norfolk,-42.7826,147.0587,61.29,61,43,1.25,AU,2024-01-04 21:48:06
552,guarapari,-20.6667,-40.4975,77.9,97,100,2.51,BR,2024-01-04 21:48:07
553,isla aguada,18.7833,-91.4667,78.84,79,90,7.65,MX,2024-01-04 21:48:07
554,atar,20.5169,-13.0499,68.65,13,0,6.73,MR,2024-01-04 21:48:07
555,arkhangel'sk,64.5401,40.5433,-5.69,84,75,4.47,RU,2024-01-04 21:46:31
556,farshut,26.0549,32.1633,57.81,50,1,8.63,EG,2024-01-04 21:48:07
557,las cruces,32.3123,-106.7783,48.85,36,0,28.77,US,2024-01-04 21:43:11
558,namdrik,5.5994,168.1028,82.56,74,100,16.33,MH,2024-01-04 21:48:08
559,runing,33.0011,114.3542,37.29,67,0,8.86,CN,2024-01-04 21:48:08
560,el bauga,18.262,33.9081,66.07,35,38,10.13,SD,2024-01-04 21:48:08
